Rank,States,Population,Decadal growth,Rural Population,Urban population,Area km2, Density /km2,Sex Ratio,Birth Rate,Death Rate
1,Uttar Pradesh,"199,812,342",20.20%,"155,317,278","44,495,063","240,928",828,912,26.7,7.2
2,Maharashtra,"112,374,333",20.00%,"61,556,074","50,818,259","307,713",365,929,16.3,5.8
3,Bihar,"104,099,452",25.40%,"92,341,436","11,758,016","94,163","1,102",918,26.3,6.2
4,West Bengal,"91,276,115",13.80%,"62,183,113","29,093,002","88,752","1,029",953,15.5,5.9
5,Madhya Pradesh,"72,626,809",16.30%,"52,557,404","20,069,405","308,245",236,931,25.5,7.5
6,Tamil Nadu,"72,147,030",15.60%,"37,229,590","34,917,440","130,058",555,996,15.2,6.7
7,Rajasthan,"68,548,437",21.30%,"51,500,352","17,048,085","342,239",201,928,24.8,6.3
8,Karnataka,"61,095,297",15.60%,"37,469,335","23,625,962","191,791",319,973,17.9,6.6
9,Gujarat,"60,439,692",19.30%,"34,694,609","25,745,083","196,024",308,919,20.4,6.1
10,Andra Pradesh,"49,577,103",11.00%,"34,966,693","14,610,410","162,968",303,993,16.8,7.1
11,Odisha,"41,974,219",14.00%,"34,970,562","7,003,656","155,707",269,979,19.2,7.6
12,Telangana,"35,003,674",13.58%,"21,395,009","13,608,665","112,077",312,988,17.8,6.5
13,Kerala,"33,406,061",4.90%,"17,471,135","15,934,926","38,863",859,1084,14.8,6.6
14,Jharkhand,"32,988,134",22.40%,"25,055,073","7,933,061","79,714",414,948,23.5,5.8
15,Assam,"31,205,576",17.10%,"26,807,034","4,398,542","78,438",397,954,22,7.1
16,Punjab,"27,743,338",13.90%,"17,344,192","10,399,146","50,362",550,895,15.2,6.2
17,Chhattisgarh,"25,545,198",22.60%,"19,607,961","5,937,237","135,191",189,991,23.2,7.5
18,Haryana,"25,351,462",19.90%,"16,509,359","8,842,103","44,212",573,879,20.9,6.1
19,Uttarakhand,"10,086,292",18.80%,"7,036,954","3,049,338","53,483",189,963,17.8,6.4
20,Himachal Pradesh,"6,864,602",12.90%,"6,176,050","688,552","55,673",123,972,16.3,6.6
21,Tripura,"3,673,917",14.80%,"2,712,464","961,453","10,486",350,960,14.7,5.2
22,Meghalaya,"2,966,889",27.90%,"2,371,439","595,450","22,429",132,989,23.7,7.4
23,Manipur,"2,570,390",18.60%,"1,793,875","776,515","22,327",122,992,14.4,4
24,Nagaland,"1,978,502",0.60%,"1,407,536","570,966","16,579",119,931,14.8,3
25,Goa,"1,458,545",8.20%,"551,731","906,814","3,702",394,973,12.7,6.4
26,Arunachal Pradesh,"1,383,727",26.00%,"1,066,358","317,369","83,743",17,938,18.8,6
27,Mizoram,"1,097,206",23.50%,"525,435","571,771","21,081",52,976,16.2,4.2
28,Sikkim,"610,577",12.90%,"456,999","153,578","7,096",86,890,17,5
29,Delhi,"16,787,941",21.20%,"419,042","16,368,899","1,484","11,297",868,16.4,16.4
30,J & K,"12,267,032",23.60%,"9,064,220","3,202,812","125,535",98,890,16.2,4.9
